0.19	13.0925
0.2	13.6424
0.21	14.2575
0.22	14.894
0.23	15.5519
0.24	16.2682
0.25	17.0286
0.26	17.8561
0.27	18.6924
0.28	19.6016
0.29	20.5662
0.3	21.4213
0.31	22.2502
0.32	23.1519
0.33	24.0688
0.34	24.9947
0.35	26.0035
0.36	27.0635
0.37	28.2249
0.38	29.3995
0.39	30.634
0.4	31.9315
0.41	33.2952
0.42	34.7285
0.43	34.6531
0.44	35.1305
0.45	35.6501
0.46	37.0001
0.47	38.0817
0.48	40.1045
0.49	40.0378
0.5	41.5567
0.51	42.1365
0.52	42.9284
0.53	45.2247
0.54	46.7839
0.55	47.7683
0.56	47.8678
0.57	48.3686
0.58	48.2622
0.59	53.1604
0.6	42.1163
0.61	40.7208
0.62	75.07
0.63	71.2573
0.64	43.8204
0.65	69.6184
0.66	49.0665
0.67	50.8126
0.68	50.5641
0.69	62.9869
0.7	54.17
0.71	90.7581
0.72	91.9286
0.73	89.1298
0.74	86.1927
0.75	57.7415
0.76	90.9071
0.77	78.4541
0.78	83.6449
0.79	89.4035
0.8	100.933
0.81	95.7872
0.82	96.2386
0.83	117.109
0.84	108.814
0.85	103.167
0.86	113.177
0.87	119.544
0.88	129.17
0.89	108.151
0.9	111.64
0.91	115.427
0.92	114.245
0.93	108.505
0.94	129.422
0.95	112.174
0.96	91.0733
0.97	102.501
0.98	110.854
0.99	120.616
0	8.95174
0.01	5.69261
0.02	6.00619
0.03	6.30652
0.04	6.60718
0.05	6.92245
0.06	7.2533
0.07	7.60051
0.08	7.96489
0.09	8.34728
0.1	8.74858
0.11	9.16973
0.12	9.61169
0.13	10.0755
0.14	10.5622
0.15	11.0729
0.16	11.6089
0.17	12.1713
0.18	12.7613
0.19	13.3804
0.2	13.6652
0.21	13.8942
0.22	14.0371
0.23	14.4225
0.24	15.0691
0.25	15.6552
0.26	16.6158
0.27	17.3715
0.28	17.7464
0.29	18.3857
0.3	19.7679
0.31	21.4363
0.32	22.16
0.33	21.4371
0.34	24.9562
0.35	24.0377
0.36	23.7812
0.37	24.5954
0.38	24.06
0.39	26.9277
0.4	26.1501
0.41	25.7533
0.42	26.3727
0.43	25.9805
0.44	27.2424
0.45	29.5301
0.46	30.0645
0.47	31.7675
0.48	34.7745
0.49	34.4111
0.5	34.5031
